Timestamp,Code,Implicitness,Adaptability,Level 1 Time,Level 2 Time,Level 3 Time,Level 4 Time,Level 5 Time,Level 6 Time,Level 7 Time,Level 4 Star,Level 5 Star,Level 6 Star,Level 7 Star,Level 1 Deaths,Level 2 Deaths,Level 3 Deaths,Level 4 Deaths,Level 5 Deaths,Level 6 Deaths,Level 7 Deaths,Total Button Presses,Level 1 Button Presses,Level 2 Button Presses,Level 3 Button Presses,Level 4 Button Presses,Level 5 Button Presses,Level 6 Button Presses,Level 7 Button Presses,Total Time,Total Stars,Total Deaths,Average Button Presses per Second,Average Deaths per Level,Average Button Presses per Level
3/6/2026 11:16:53,ma808588,moderate,yes,20.2447,6.0108,3.9127,232.5529,32.9174,45.1718,171.1638,TRUE,TRUE,FALSE,FALSE,0,0,0,34,2,1,6,1376,7,14,6,732,84,90,443,511.9741,2,43,2.687635957,6.142857143,196.5714286
3/6/2026 11:20:25,nb047296,low,no,22.7151,3.9129,3.9127,9.9069,14.369,85.7651,0,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,134,9,6,2,32,36,49,0,140.5817,1,0,0.9531823843,0,19.14285714
3/6/2026 12:11:03,nb825547,low,no,38.6036,3.9165,4.1832,20.1657,12.616,22.0991,0,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,175,14,7,8,70,20,56,0,101.5841,2,0,1.722710542,0,25
3/6/2026 12:11:21,na529731,low,yes,32.6207,12.4822,6.0492,128.4699,9.5489,69.8261,427.0549,FALSE,FALSE,FALSE,FALSE,0,0,0,10,0,0,15,1957,7,39,24,553,26,154,1154,686.0519,0,25,2.852553867,3.571428571,279.5714286
3/6/2026 12:38:22,nb416902,low,no,56.5254,4.3497,3.9163,6.6159,17.0148,25.0807,36.3795,FALSE,TRUE,FALSE,FALSE,0,0,0,1,1,0,1,325,11,14,8,28,42,86,136,149.8823,1,3,2.168368113,0.4285714286,46.42857143
3/6/2026 12:38:40,mb510221,moderate,no,96.0231,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,24,24,0,0,0,0,0,0,96.0231,0,0,0.2499398582,0,3.428571429
3/6/2026 13:42:50,ma274979,moderate,yes,47.3948,3.9163,3.9163,27.3138,21.2644,13.8486,0,FALSE,TRUE,FALSE,FALSE,0,0,0,3,1,0,0,158,16,9,6,62,30,35,0,117.6542,2,4,1.342918485,0.5714285714,22.57142857
3/6/2026 13:44:55,ma274979,moderate,yes,47.3948,3.9163,3.9163,27.3138,21.2644,27.7305,110.3882,FALSE,TRUE,FALSE,FALSE,0,0,0,3,1,0,2,522,16,9,6,62,30,71,328,241.9243,2,6,2.157699743,0.8571428571,74.57142857
3/6/2026 14:22:45,ib646718,high,no,2.7864,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7864,0,0,0,0,0
3/6/2026 15:32:45,nb225770,low,no,11.2406,3.9128,4.6954,13.2036,24.509,54.7457,103.1479,FALSE,TRUE,FALSE,FALSE,0,0,0,2,1,2,0,529,5,6,10,58,46,126,278,215.455,1,5,2.455269082,0.7142857143,75.57142857
